dataset,global_step,loss,lr,grad_norm,total_tokens,supervised_tokens,max_seqlen_q,optimizer_mode
ultrachat_200k,20,3.7397303248755636,4e-07,44.28219985961914,3116314,2370126,3072,fp32-master
ultrachat_200k,40,2.5638934845570476,8e-07,10.420172691345215,3064457,2358245,3072,fp32-master
ultrachat_200k,60,1.507546255341731,1.2e-06,2.5380940437316895,3100500,2381193,3072,fp32-master
ultrachat_200k,80,1.2287938247085548,1.6e-06,1.6581509113311768,3066476,2358905,3072,fp32-master
ultrachat_200k,100,1.1376570274936966,2e-06,1.5152114629745483,3085206,2342601,3072,fp32-master
ultrachat_200k,120,1.1011886272928677,2.4e-06,1.5213614702224731,3056851,2325780,3072,fp32-master
ultrachat_200k,140,1.0807666506472742,2.8e-06,1.6029976606369019,3077527,2357839,3072,fp32-master
ultrachat_200k,160,1.051222730227164,3.2e-06,1.5179532766342163,3117583,2406357,3072,fp32-master
ultrachat_200k,180,1.043838672855054,3.6e-06,1.7880727052688599,3079919,2349636,3072,fp32-master
ultrachat_200k,200,1.025933103391435,4e-06,1.5775099992752075,3075680,2350062,3072,fp32-master
ultrachat_200k,220,1.028819074758212,3.999989999749993e-06,1.6492347717285156,3113079,2384628,3072,fp32-master
ultrachat_200k,240,1.0165554409613833,3.999979999499987e-06,1.3464218378067017,3117961,2394594,3072,fp32-master
ultrachat_200k,260,1.015416649056715,3.9999699992499805e-06,1.4227781295776367,3024496,2298345,3072,fp32-master
ultrachat_200k,280,1.005071158177452,3.999959998999975e-06,1.523470163345337,3105659,2389469,3072,fp32-master
ultrachat_200k,300,0.9982215673051542,3.999949998749969e-06,1.4091060161590576,3033554,2318158,3072,fp32-master
ultrachat_200k,320,0.9913696867239196,3.999939998499962e-06,1.3884873390197754,3071074,2361864,3072,fp32-master
ultrachat_200k,340,0.9906156476994511,3.999929998249956e-06,1.3863388299942017,3052497,2338810,3072,fp32-master
ultrachat_200k,360,0.9946900264301803,3.9999199979999495e-06,1.356196641921997,3038784,2320794,3072,fp32-master
ultrachat_200k,380,0.9886668335384456,3.999909997749944e-06,1.4896858930587769,3078909,2356883,3072,fp32-master
ultrachat_200k,400,0.977082020250964,3.999899997499937e-06,1.4459223747253418,3086876,2356787,3072,fp32-master
ultrachat_200k,420,0.9754887562216027,3.999889997249931e-06,1.3921970129013062,3075456,2391329,3072,fp32-master
ultrachat_200k,440,0.9680811090467614,3.999879996999924e-06,1.3199856281280518,3080899,2355200,3072,fp32-master
ultrachat_200k,460,0.975831652188208,3.9998699967499185e-06,1.4218329191207886,3101898,2365913,3072,fp32-master
ultrachat_200k,480,0.9561866452742833,3.999859996499913e-06,1.3690918684005737,3078381,2355741,3072,fp32-master
ultrachat_200k,500,0.9651798692240845,3.999849996249906e-06,1.4049979448318481,3091642,2383330,3072,fp32-master
ultrachat_200k,520,0.9516986873291898,3.9998399959999e-06,1.3169903755187988,3051565,2327470,3072,fp32-master
ultrachat_200k,540,0.9591677515389165,3.999829995749893e-06,1.3725160360336304,3066529,2346277,3072,fp32-master
ultrachat_200k,560,0.9573091561789624,3.9998199954998875e-06,1.332707405090332,3101765,2383650,3072,fp32-master
ultrachat_200k,580,0.9588813594484236,3.999809995249881e-06,1.3905881643295288,3033659,2308139,3072,fp32-master
ultrachat_200k,600,0.95521323531284,3.999799994999875e-06,1.27955961227417,3069445,2351768,3072,fp32-master
ultrachat_200k,620,0.9531686693517258,3.999789994749869e-06,1.3337520360946655,3096880,2377158,3072,fp32-master
ultrachat_200k,640,0.9584974478726508,3.999779994499862e-06,1.6424843072891235,3057089,2325151,3072,fp32-master
ultrachat_200k,660,0.9509272390627302,3.9997699942498565e-06,1.3927263021469116,3064608,2338235,3072,fp32-master
ultrachat_200k,680,0.9523489544153563,3.99975999399985e-06,1.64725661277771,3098087,2365597,3072,fp32-master
ultrachat_200k,700,0.945541952145868,3.999749993749844e-06,1.3402961492538452,3081026,2356217,3072,fp32-master
ultrachat_200k,720,0.9514902396011167,3.999739993499837e-06,1.2729582786560059,3106528,2402405,3072,fp32-master
ultrachat_200k,740,0.9457995160191786,3.999729993249831e-06,1.4575543403625488,3043494,2306115,3072,fp32-master
ultrachat_200k,760,0.946811112339492,3.999719992999825e-06,1.4300252199172974,3045279,2331661,3072,fp32-master
ultrachat_200k,780,0.9457459431956522,3.999709992749818e-06,1.2408555746078491,3085237,2343046,3072,fp32-master
ultrachat_200k,800,0.9484809536370449,3.999699992499812e-06,1.7935729026794434,3049432,2345000,3072,fp32-master
ultrachat_200k,820,0.9492342734767589,3.999689992249806e-06,1.4017753601074219,3108030,2386845,3072,fp32-master
ultrachat_200k,840,0.9373536625003908,3.9996799919997995e-06,1.704910159111023,3063737,2326512,3072,fp32-master
ultrachat_200k,860,0.9381008209602442,3.999669991749794e-06,1.8917872905731201,3035473,2306325,3072,fp32-master
ultrachat_200k,880,0.9406198109150864,3.999659991499787e-06,1.3508648872375488,3112578,2391674,3072,fp32-master
